day,date,time,beg_time,end_time,location,id,session,type,url,sponsor,has_fee,beg_time_round,end_time_round
Fri,7/26/2019,8:00 AM - 5:00 PM,8:00 AM,5:00 PM,H-Quartz AB,218796,ASA Board of Directors Meeting (Closed),Other,https://ww2.amstat.org/meetings/jsm/2019/onlineprogram/ActivityDetails.cfm?SessionID=218796,ASA Board of Directors,FALSE,8,17
Sat,7/27/2019,7:30 AM - 6:00 PM,7:30 AM,6:00 PM,CC-D Lobby,219017,JSM Main Registration,Other,https://ww2.amstat.org/meetings/jsm/2019/onlineprogram/ActivityDetails.cfm?SessionID=219017,JSM,FALSE,7,18
Sat,7/27/2019,7:30 AM - 6:00 PM,7:30 AM,6:00 PM,CC-D Lobby,219028,JSM Help Desk/Press Desk,Other,https://ww2.amstat.org/meetings/jsm/2019/onlineprogram/ActivityDetails.cfm?SessionID=219028,JSM,FALSE,7,18
Sat,7/27/2019,7:30 AM - 6:00 PM,7:30 AM,6:00 PM,CC-D Lobby,219078,Cyber Center,Other,https://ww2.amstat.org/meetings/jsm/2019/onlineprogram/ActivityDetails.cfm?SessionID=219078,JSM,FALSE,7,18
Sat,7/27/2019,8:00 AM - 5:00 PM,8:00 AM,5:00 PM,H-Quartz AB,218797,ASA Board of Directors Meeting (Closed),Other,https://ww2.amstat.org/meetings/jsm/2019/onlineprogram/ActivityDetails.cfm?SessionID=218797,ASA Board of Directors,FALSE,8,17
Sat,7/27/2019,8:00 AM - 5:30 PM,8:00 AM,5:30 PM,H-Mineral Hall B-C,218823,ACTStat 2019 Annual Meeting,Other,https://ww2.amstat.org/meetings/jsm/2019/onlineprogram/ActivityDetails.cfm?SessionID=218823,Association of Clinical and Translational Statisticians (formerly GCRC),FALSE,8,18
Sat,7/27/2019,8:00 AM - 5:00 PM,8:00 AM,5:00 PM,CC-Hall C,219056,Exhibitor Move-In and Lounge,Other,https://ww2.amstat.org/meetings/jsm/2019/onlineprogram/ActivityDetails.cfm?SessionID=219056,JSM,FALSE,8,17
Sat,7/27/2019,8:00 AM - 12:00 PM,8:00 AM,12:00 PM,CC-304,,Essential Collaboration Skills (ADDED FEE),Professional Development,https://ww2.amstat.org/meetings/jsm/2019/onlineprogram/AbstractDetails.cfm?abstractid=308069,ASA,TRUE,8,12
Sat,7/27/2019,8:00 AM - 12:00 PM,8:00 AM,12:00 PM,CC-304,,Essential Collaboration Skills (ADDED FEE),Professional Development,https://ww2.amstat.org/meetings/jsm/2019/onlineprogram/AbstractDetails.cfm?abstractid=308070,ASA,TRUE,8,12
Sat,7/27/2019,8:30 AM - 5:00 PM,8:30 AM,5:00 PM,CC-401/402,,Welcome to the Tidyverse: Reproducible Data Science with R (ADDED FEE),Professional Development,https://ww2.amstat.org/meetings/jsm/2019/onlineprogram/AbstractDetails.cfm?abstractid=308027,ASA,TRUE,8,17
Sat,7/27/2019,8:30 AM - 5:00 PM,8:30 AM,5:00 PM,CC-401/402,,Welcome to the Tidyverse: Reproducible Data Science with R (ADDED FEE),Professional Development,https://ww2.amstat.org/meetings/jsm/2019/onlineprogram/AbstractDetails.cfm?abstractid=308038,ASA,TRUE,8,17
Sat,7/27/2019,8:30 AM - 5:00 PM,8:30 AM,5:00 PM,CC-407,,Reproducible Computing (ADDED FEE),Professional Development,https://ww2.amstat.org/meetings/jsm/2019/onlineprogram/AbstractDetails.cfm?abstractid=308032,"ASA, Biometrics Section",TRUE,8,17
